iter	Passed	Remaining
849	21669	105799
850	21687	105737
851	21706	105679
852	21726	105628
853	21746	105573
854	21766	105523
855	21784	105459
856	21801	105395
857	21821	105341
858	21839	105283
859	21862	105246
860	21882	105194
861	21902	105143
862	21924	105099
863	21943	105043
864	21963	104993
865	21980	104929
866	22000	104875
867	22018	104818
868	22050	104821
869	22082	104827
870	22108	104804
871	22136	104795
872	22160	104761
873	22190	104759
874	22216	104733
875	22233	104671
876	22253	104618
877	22273	104567
878	22292	104511
879	22308	104442
880	22325	104381
881	22344	104322
882	22363	104271
883	22385	104228
884	22403	104171
885	22424	104124
886	22444	104074
887	22465	104028
888	22486	103984
889	22504	103925
890	22524	103876
891	22542	103819
892	22561	103764
893	22581	103713
894	22600	103658
895	22620	103607
896	22639	103554
897	22659	103505
898	22678	103455
899	22696	103396
900	22713	103333
901	22732	103277
902	22751	103224
903	22771	103177
904	22796	103151
905	22818	103113
906	22836	103053
907	22854	102994
908	22870	102932
909	22892	102889
910	22914	102850
911	22932	102795
912	22954	102753
913	22974	102706
914	22994	102659
915	23012	102602
916	23030	102543
917	23050	102494
918	23068	102439
919	23086	102382
920	23102	102319
921	23119	102258
922	23140	102215
923	23160	102165
924	23179	102116
925	23197	102059
926	23217	102011
927	23234	101951
928	23254	101904
929	23275	101861
930	23294	101810
931	23314	101762
932	23331	101704
933	23350	101650
934	23368	101594
935	23386	101542
936	23404	101484
937	23420	101421
938	23438	101367
939	23455	101308
940	23475	101261
941	23493	101204
942	23512	101155
943	23531	101106
944	23550	101054
945	23569	101003
946	23587	100949
947	23606	100900
948	23628	100861
949	23648	100817
950	23667	100767
951	23685	100714
952	23704	100664
953	23723	100615
954	23742	100565
955	23762	100517
956	23782	100471
957	23801	100423
958	23819	100369
959	23838	100319
960	23858	100275
961	23881	100241
962	23900	100192
963	23918	100138
964	23936	100088
965	23954	100032
966	23972	99980
967	23989	99923
968	24009	99879
969	24027	99826
970	24047	99779
971	24065	99729
972	24083	99675
973	24105	99637
974	24128	99607
975	24148	99561
976	24166	99512
977	24186	99465
978	24205	99419
979	24227	99380
980	24247	99338
981	24268	99297
982	24285	99243
983	24305	99197
984	24324	99150
985	24348	99120
986	24369	99084
987	24389	99039
988	24409	98997
989	24430	98955
990	24450	98912
991	24472	98875
992	24490	98824
993	24511	98786
994	24531	98743
995	24549	98692
996	24572	98659
997	24594	98622
998	24613	98578
999	24633	98533
1000	24653	98490
1001	24674	98451
1002	24693	98404
1003	24711	98353
1004	24729	98304
1005	24747	98252
1006	24765	98200
1007	24782	98147
1008	24800	98095
1009	24818	98047
1010	24839	98006
1011	24858	97961
1012	24880	97924
1013	24900	97884
1014	24919	97838
1015	24939	97795
1016	24957	97744
1017	24976	97699
1018	24994	97649
1019	25011	97593
1020	25030	97546
1021	25049	97502
1022	25072	97472
1023	25093	97432
1024	25113	97391
1025	25132	97346
1026	25150	97295
1027	25168	97246
1028	25188	97203
1029	25206	97155
1030	25224	97105
1031	25244	97062
1032	25264	97021
1033	25290	97002
1034	25309	96959
1035	25327	96909
1036	25344	96858
1037	25361	96804
1038	25377	96747
1039	25394	96695
1040	25411	96640
1041	25434	96612
1042	25455	96575
1043	25473	96525
1044	25493	96484
1045	25512	96440
1046	25531	96395
1047	25551	96354
1048	25571	96314
1049	25591	96271
1050	25609	96223
1051	25629	96183
1052	25648	96138
1053	25666	96089
1054	25685	96046
1055	25703	96000
1056	25725	95963
1057	25743	95918
1058	25763	95875
1059	25783	95836
1060	25803	95796
1061	25823	95756
1062	25842	95711
1063	25860	95664
1064	25877	95613
1065	25897	95574
1066	25918	95536
1067	25937	95492
1068	25957	95452
1069	25976	95408
1070	25997	95373
1071	26016	95327
1072	26033	95279
1073	26056	95248
1074	26074	95202
1075	26093	95158
1076	26111	95110
1077	26128	95061
1078	26147	95017
1079	26165	94971
1080	26183	94924
1081	26201	94876
1082	26221	94838
1083	26242	94803
1084	26264	94771
1085	26286	94738
1086	26306	94698
1087	26325	94654
1088	26345	94616
1089	26363	94569
1090	26383	94532
1091	26403	94491
1092	26422	94449
1093	26440	94404
1094	26460	94364
1095	26490	94359
1096	26508	94315
1097	26526	94268
1098	26546	94228
1099	26565	94187
1100	26586	94151
1101	26606	94113
1102	26627	94078
1103	26650	94048
1104	26669	94006
1105	26688	93964
1106	26708	93926
1107	26729	93889
1108	26755	93873
1109	26772	93825
1110	26790	93780
1111	26810	93740
1112	26829	93698
1113	26850	93663
1114	26867	93615
1115	26886	93571
1116	26906	93535
1117	26926	93495
1118	26947	93462
1119	26965	93416
1120	26984	93374
1121	27004	93336
1122	27024	93299
1123	27045	93263
1124	27064	93221
1125	27085	93186
1126	27104	93145
1127	27124	93106
1128	27146	93077
1129	27165	93035
1130	27185	92998
1131	27206	92961
1132	27228	92934
1133	27248	92893
1134	27267	92854
1135	27288	92819
1136	27309	92784
1137	27329	92747
1138	27350	92714
1139	27369	92672
1140	27387	92628
1141	27405	92584
1142	27425	92545
1143	27446	92511
1144	27467	92477
1145	27486	92438
1146	27507	92402
1147	27525	92357
1148	27544	92317
1149	27563	92278
1150	27580	92231
1151	27599	92191
1152	27617	92147
1153	27637	92108
1154	27657	92070
1155	27675	92029
1156	27697	91997
1157	27717	91960
1158	27738	91927
1159	27758	91890
1160	27779	91857
1161	27803	91831
1162	27822	91792
1163	27841	91751
1164	27861	91716
1165	27880	91675
1166	27898	91633
1167	27916	91589
1168	27933	91543
1169	27953	91507
1170	27972	91465
1171	27989	91419
1172	28007	91376
1173	28024	91330
1174	28042	91287
1175	28059	91241
1176	28078	91200
1177	28098	91165
1178	28117	91125
1179	28136	91085
1180	28155	91047
1181	28174	91005
1182	28195	90972
1183	28214	90935
1184	28235	90902
1185	28255	90864
1186	28276	90832
1187	28296	90797
1188	28316	90761
1189	28335	90722
1190	28352	90676
1191	28371	90635
1192	28391	90601
1193	28409	90559
1194	28432	90530
1195	28459	90519
1196	28492	90522
1197	28526	90530
1198	28547	90500
1199	28565	90455
1200	28580	90406
1201	28598	90364
1202	28620	90333
1203	28647	90321
1204	28668	90287
1205	28689	90256
1206	28710	90221
1207	28729	90184
1208	28749	90149
1209	28768	90109
1210	28787	90071
1211	28806	90032
1212	28827	89999
1213	28845	89956
1214	28863	89916
1215	28884	89884
1216	28902	89843
1217	28922	89807
1218	28940	89765
1219	28959	89726
1220	28976	89683
1221	28996	89647
1222	29016	89613
1223	29034	89571
1224	29053	89530
1225	29070	89488
1226	29091	89454
1227	29109	89415
1228	29128	89376
1229	29146	89336
1230	29167	89302
1231	29184	89260
1232	29204	89225
1233	29224	89190
1234	29244	89152
1235	29261	89110
1236	29278	89065
1237	29298	89032
1238	29319	88998
1239	29338	88962
1240	29356	88921
1241	29374	88880
1242	29394	88846
1243	29414	88811
1244	29433	88772
1245	29454	88740
1246	29471	88698
1247	29489	88657
1248	29508	88619
1249	29528	88584
1250	29547	88547
1251	29566	88510
1252	29588	88482
1253	29606	88442
1254	29627	88411
1255	29650	88386
1256	29668	88345
1257	29688	88311
1258	29706	88268
1259	29726	88236
1260	29745	88198
1261	29766	88166
1262	29785	88128
1263	29803	88089
1264	29821	88051
1265	29840	88012
1266	29858	87973
1267	29879	87941
1268	29898	87904
1269	29918	87869
1270	29935	87827
1271	29955	87793
1272	29975	87759
1273	29992	87718
1274	30011	87681
1275	30031	87645
1276	30051	87612
1277	30071	87578
1278	30093	87550
1279	30114	87519
1280	30134	87485
1281	30152	87448
1282	30171	87409
1283	30188	87368
1284	30207	87330
1285	30225	87291
1286	30244	87254
1287	30261	87213
1288	30281	87178
1289	30300	87142
1290	30320	87110
1291	30341	87078
1292	30360	87043
1293	30380	87009
1294	30399	86973
1295	30419	86938
1296	30439	86906
1297	30458	86869
1298	30476	86830
1299	30497	86801
1300	30517	86767
1301	30538	86736
1302	30558	86704
1303	30579	86672
1304	30599	86640
1305	30621	86613
1306	30640	86576
1307	30657	86535
1308	30675	86495
1309	30691	86452
1310	30710	86416
1311	30728	86377
1312	30748	86344
1313	30770	86315
1314	30789	86280
1315	30810	86251
1316	30830	86216
1317	30849	86182
1318	30869	86148
1319	30888	86114
1320	30907	86076
1321	30924	86036
1322	30942	85998
1323	30960	85961
1324	30979	85924
1325	30999	85890
1326	31019	85857
1327	31039	85825
1328	31060	85795
1329	31082	85767
1330	31102	85736
1331	31120	85697
1332	31139	85664
1333	31159	85630
1334	31178	85594
1335	31197	85560
1336	31216	85523
1337	31236	85491
1338	31253	85451
1339	31271	85412
1340	31288	85372
1341	31307	85337
1342	31325	85299
1343	31343	85263
1344	31363	85229
1345	31382	85195
1346	31402	85163
1347	31422	85129
1348	31443	85099
1349	31463	85068
1350	31483	85036
1351	31504	85005
1352	31523	84970
1353	31543	84940
1354	31565	84912
1355	31585	84880
1356	31605	84848
1357	31624	84813
1358	31645	84784
1359	31664	84748
1360	31680	84706
1361	31697	84666
1362	31714	84626
1363	31730	84583
1364	31750	84550
1365	31769	84516
1366	31787	84479
1367	31805	84441
1368	31823	84404
1369	31840	84365
1370	31859	84331
1371	31879	84298
1372	31899	84267
1373	31919	84236
1374	31941	84208
1375	31961	84178
1376	31981	84146
1377	32002	84115
1378	32022	84084
1379	32041	84051
1380	32060	84016
1381	32077	83977
1382	32097	83944
1383	32116	83911
1384	32136	83880
1385	32157	83851
1386	32176	83816
1387	32196	83785
1388	32215	83751
1389	32237	83723
1390	32256	83690
1391	32276	83658
1392	32294	83623
1393	32313	83588
1394	32331	83551
1395	32349	83515
1396	32367	83479
1397	32386	83444
1398	32404	83408
1399	32423	83373
1400	32442	83341
1401	32464	83315
1402	32484	83283
1403	32502	83247
1404	32522	83216
1405	32541	83182
1406	32562	83152
1407	32581	83119
1408	32601	83088
1409	32621	83058
1410	32645	83036
1411	32679	83040
1412	32699	83008
1413	32718	82975
1414	32737	82941
1415	32755	82905
1416	32773	82870
1417	32791	82833
1418	32808	82795
1419	32827	82761
1420	32845	82725
1421	32863	82690
1422	32882	82657
1423	32902	82627
1424	32923	82598
1425	32942	82565
1426	32961	82531
1427	32980	82498
1428	32998	82462
1429	33020	82436
1430	33040	82405
1431	33061	82375
1432	33079	82341
1433	33097	82305
1434	33115	82269
1435	33133	82232
1436	33151	82198
1437	33171	82167
1438	33190	82134
1439	33208	82098
1440	33228	82067
1441	33247	82035
1442	33266	82002
1443	33294	81991
1444	33316	81964
1445	33331	81922
1446	33348	81885
1447	33366	81849
1448	33386	81819
1449	33404	81784
1450	33424	81752
1451	33444	81721
1452	33461	81685
1453	33480	81651
1454	33499	81619
1455	33518	81586
1456	33536	81550
1457	33555	81517
1458	33576	81490
1459	33596	81459
1460	33615	81427
1461	33633	81391
1462	33652	81360
1463	33671	81326
1464	33689	81291
1465	33707	81256
1466	33742	81261
1467	33761	81230
1468	33782	81202
1469	33801	81168
1470	33821	81138
1471	33840	81105
1472	33858	81072
1473	33877	81040
1474	33897	81009
1475	33917	80980
1476	33935	80945
1477	33956	80915
1478	33975	80883
1479	33995	80853
1480	34016	80826
1481	34034	80792
1482	34053	80759
1483	34073	80728
1484	34091	80694
1485	34112	80668
1486	34130	80632
1487	34150	80602
1488	34168	80567
1489	34186	80532
1490	34205	80501
1491	34226	80473
1492	34248	80447
1493	34268	80418
1494	34287	80385
1495	34307	80355
1496	34327	80326
1497	34347	80296
1498	34365	80261
1499	34382	80225
1500	34402	80195
1501	34421	80162
1502	34440	80131
1503	34459	80099
1504	34479	80070
1505	34499	80041
1506	34517	80006
1507	34535	79972
1508	34554	79939
1509	34573	79907
1510	34589	79869
1511	34607	79835
1512	34626	79802
1513	34648	79777
1514	34667	79747
1515	34686	79715
1516	34706	79684
1517	34724	79651
1518	34744	79621
1519	34763	79591
1520	34784	79562
1521	34803	79530
1522	34821	79497
1523	34839	79463
1524	34855	79425
1525	34871	79387
1526	34887	79349
1527	34905	79314
1528	34923	79279
1529	34939	79242
1530	34957	79207
1531	34975	79174
1532	34993	79141
1533	35011	79106
1534	35029	79073
1535	35046	79036
1536	35063	79001
1537	35080	78965
1538	35098	78932
1539	35116	78898
1540	35135	78867
1541	35153	78833
1542	35173	78804
1543	35194	78776
1544	35211	78742
1545	35230	78710
1546	35248	78677
1547	35267	78645
1548	35284	78609
1549	35304	78579
1550	35324	78551
1551	35347	78530
1552	35381	78531
1553	35400	78500
1554	35420	78472
1555	35440	78442
1556	35459	78412
1557	35479	78382
1558	35498	78350
1559	35517	78319
1560	35536	78289
1561	35555	78257
1562	35573	78224
1563	35591	78192
1564	35609	78159
1565	35626	78123
1566	35645	78091
1567	35662	78058
1568	35680	78023
1569	35698	77991
1570	35716	77957
1571	35736	77928
1572	35754	77896
1573	35772	77863
1574	35793	77837
1575	35812	77805
1576	35830	77773
1577	35851	77746
1578	35868	77711
1579	35888	77681
1580	35906	77648
1581	35927	77622
1582	35947	77593
1583	35967	77566
1584	35988	77539
1585	36010	77515
1586	36031	77488
1587	36052	77462
1588	36071	77431
1589	36090	77400
1590	36108	77368
1591	36126	77336
1592	36145	77306
1593	36166	77279
1594	36187	77253
1595	36206	77222
1596	36228	77197
1597	36246	77165
1598	36266	77137
1599	36286	77108
1600	36303	77073
1601	36323	77044
1602	36340	77011
1603	36359	76979
1604	36376	76945
1605	36394	76912
1606	36414	76884
1607	36432	76852
1608	36451	76822
1609	36470	76792
1610	36492	76767
1611	36513	76741
1612	36532	76711
1613	36553	76684
1614	36572	76655
1615	36592	76626
1616	36612	76599
1617	36632	76570
1618	36651	76539
1619	36670	76509
1620	36692	76485
1621	36711	76456
1622	36730	76425
1623	36750	76396
1624	36768	76364
1625	36787	76335
1626	36806	76305
1627	36832	76290
1628	36850	76256
1629	36869	76227
1630	36890	76202
1631	36912	76176
1632	36930	76145
1633	36948	76113
1634	36970	76088
1635	36989	76058
1636	37007	76027
1637	37026	75996
1638	37045	75966
1639	37063	75934
1640	37083	75907
1641	37102	75876
1642	37120	75844
1643	37138	75812
1644	37158	75786
1645	37180	75761
1646	37199	75732
1647	37220	75706
1648	37240	75678
1649	37261	75651
1650	37281	75623
1651	37301	75595
1652	37322	75569
1653	37342	75542
1654	37361	75513
1655	37384	75491
1656	37406	75467
1657	37425	75438
1658	37447	75413
1659	37466	75384
1660	37484	75352
1661	37502	75321
1662	37519	75287
1663	37537	75255
1664	37555	75223
1665	37574	75194
