TRAVEL_ID,GENDER,AGE_GRP,FCLTY_ID,FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,DGSTFN
h_h001541,여,40,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h001612,남,40,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h001726,여,30,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,3.0
h_h001737,남,20,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h001905,여,40,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,4.0
h_h002442,여,30,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h002570,여,20,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h002658,남,40,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,4.0
h_h003556,여,20,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h003578,여,30,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h003895,여,20,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,4.0
h_h004154,남,20,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,4.0
h_h005058,남,30,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h005311,여,30,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h005441,남,50,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h005624,여,30,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h006286,여,30,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h006398,남,50,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h006597,여,40,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,4.0
h_h006638,여,50,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h006694,남,30,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,4.0
h_h000013,남,40,28,국제리더스클럽,레저/체육/공원,대형레저시설,요트장,3.0
h_h000014,여,20,28,국제리더스클럽,레저/체육/공원,대형레저시설,요트장,5.0
h_h000585,남,30,28,국제리더스클럽,레저/체육/공원,대형레저시설,요트장,5.0
h_h001207,남,40,28,국제리더스클럽,레저/체육/공원,대형레저시설,요트장,5.0
h_h002540,여,20,28,국제리더스클럽,레저/체육/공원,대형레저시설,요트장,5.0
h_h003703,여,30,28,국제리더스클럽,레저/체육/공원,대형레저시설,요트장,5.0
h_h002656,여,30,30,그리스신화박물관,전시/공연,전시/기념관,기타전시/박물관,4.0
h_h002659,여,30,30,그리스신화박물관,전시/공연,전시/기념관,기타전시/박물관,3.0
h_h005492,여,40,30,그리스신화박물관,전시/공연,전시/기념관,기타전시/박물관,3.0
h_h003675,여,20,32,금능석물원,문화관광/명소,관광지,식물원,3.0
h_h000009,남,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000020,여,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000047,여,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000058,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000086,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000098,남,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000158,남,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000179,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000186,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000222,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000238,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,3.0
h_h000319,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000324,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000346,여,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000353,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000453,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000453,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000464,여,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000481,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000531,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000585,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000620,남,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000620,남,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000624,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000624,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000723,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000739,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000739,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000739,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000768,여,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000794,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000815,남,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000831,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000874,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000874,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000899,여,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000914,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000920,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,3.0
h_h001125,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001301,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001406,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h001462,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h001481,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h001491,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001526,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001607,남,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001688,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h001742,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001752,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001849,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002014,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002042,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002182,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002195,남,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
