FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,SIGNGU_NM,WCHAIR_HOLD_AT,DSPSN_TOILET_AT,DSPSN_PRKPLCE_AT,GUID_DOG_ACP_POSBL_AT,BRLL_GUID_AT,KLANG_VIC_GUID_AT,PARKNG_AT,FCLTY_ID,TRAVEL_ID,DGSTFN,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_COMPANIONS_NUM
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h002549,5.0,남,30,3,2,5,6,5,6,1,3,0
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h003123,3.0,여,20,4,3,3,1,4,3,6,6,1
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h003346,4.0,여,20,6,2,2,4,4,4,5,6,2
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h003722,4.0,남,50,4,4,4,4,4,4,4,4,3
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h004219,5.0,남,20,6,1,2,4,2,2,6,3,1
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h005271,2.0,여,20,4,1,2,6,6,5,5,4,1
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h005428,5.0,여,20,3,3,3,3,3,3,3,5,1
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h005884,4.0,남,30,4,1,2,4,5,6,2,5,1
고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,서귀포시,0,0,1,0,0,0,1,19,h_h000037,5.0,남,40,1,7,7,4,4,1,7,2,1
고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,서귀포시,0,0,1,0,0,0,1,19,h_h000537,4.0,여,50,2,3,2,4,4,4,6,7,3
고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,서귀포시,0,0,1,0,0,0,1,19,h_h000645,5.0,여,30,4,4,4,4,6,4,6,5,3
고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,서귀포시,0,0,1,0,0,0,1,19,h_h000683,5.0,여,40,1,1,1,1,7,1,1,1,1
고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,서귀포시,0,0,1,0,0,0,1,19,h_h000756,4.0,여,40,2,1,1,4,6,3,1,6,3
고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,서귀포시,0,0,1,0,0,0,1,19,h_h000834,5.0,여,20,5,2,1,4,4,3,6,2,0
고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,서귀포시,0,0,1,0,0,0,1,19,h_h001299,5.0,여,40,4,1,3,2,1,4,7,1,16
고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,서귀포시,0,0,1,0,0,0,1,19,h_h002549,5.0,남,30,3,2,5,6,5,6,1,3,0
고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,서귀포시,0,0,1,0,0,0,1,19,h_h003266,5.0,남,40,4,1,3,2,3,4,5,4,0
고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,서귀포시,0,0,1,0,0,0,1,19,h_h006517,4.0,남,30,1,4,3,6,3,3,6,7,0
교래자연휴양림,문화관광/명소,관광지,휴양림/수목원,제주시,1,1,1,0,0,0,1,24,h_h000222,5.0,여,30,2,2,1,6,1,5,1,2,1
교래자연휴양림,문화관광/명소,관광지,휴양림/수목원,제주시,1,1,1,0,0,0,1,24,h_h000703,4.0,여,30,5,3,1,5,5,4,4,6,1
교래자연휴양림,문화관광/명소,관광지,휴양림/수목원,제주시,1,1,1,0,0,0,1,24,h_h000772,5.0,여,40,3,4,3,3,4,3,6,4,0
교래자연휴양림,문화관광/명소,관광지,휴양림/수목원,제주시,1,1,1,0,0,0,1,24,h_h001076,5.0,여,30,4,2,2,1,4,2,6,6,4
교래자연휴양림,문화관광/명소,관광지,휴양림/수목원,제주시,1,1,1,0,0,0,1,24,h_h001620,5.0,여,30,1,6,6,1,1,2,6,3,1
교래자연휴양림,문화관광/명소,관광지,휴양림/수목원,제주시,1,1,1,0,0,0,1,24,h_h002050,5.0,남,30,1,1,2,6,4,2,6,7,0
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h000047,5.0,여,50,5,5,1,3,4,6,1,7,3
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h000232,5.0,여,50,4,1,7,1,4,7,4,1,2
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h000453,5.0,여,30,2,1,2,1,3,3,7,5,3
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h001167,4.0,여,40,5,4,3,5,2,6,3,5,3
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h001207,5.0,남,40,2,6,1,2,1,2,3,5,1
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h001257,5.0,여,50,2,6,4,4,6,4,6,4,0
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h001433,5.0,남,50,2,2,2,4,4,2,4,4,2
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h001541,5.0,여,40,4,4,1,6,5,2,3,4,2
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h001612,5.0,남,40,4,1,4,4,2,4,2,5,5
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h001726,3.0,여,30,6,6,2,4,5,5,2,7,2
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h001737,5.0,남,20,4,2,1,3,6,6,6,7,3
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h001905,4.0,여,40,3,1,5,5,4,6,2,6,1
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h002442,5.0,여,30,2,2,4,1,2,4,2,2,0
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h002570,5.0,여,20,4,4,2,2,2,3,4,6,1
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h002658,4.0,남,40,4,3,3,4,5,2,4,4,1
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h003556,5.0,여,20,2,2,5,1,6,3,2,6,3
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h003578,5.0,여,30,3,2,2,5,6,3,7,3,2
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h003895,4.0,여,20,1,1,3,5,5,5,5,3,0
